epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1847.7,1.38428,2.57132,1.32096,0.38599,0.35179,0.29927,0.1315,1.88434,3.21721,1.88699,0.000662338,0.000662338,0.000662338
2,3626.34,1.51036,1.78577,1.40577,0.23918,0.28339,0.17052,0.07009,2.11974,3.8844,2.20319,0.00130269,0.00130269,0.00130269
3,5459.81,1.46701,1.5012,1.38394,0.34958,0.25407,0.23388,0.09404,2.25181,2.82111,2.3581,0.00191664,0.00191664,0.00191664
4,7262.9,1.44328,1.35474,1.35629,0.38237,0.35831,0.30717,0.12996,2.11136,2.30395,2.08053,0.0018812,0.0018812,0.0018812
5,9667.87,1.40348,1.24681,1.35559,0.4031,0.34317,0.30069,0.12445,2.14518,2.64267,2.11471,0.0018416,0.0018416,0.0018416
6,12133.6,1.37727,1.19338,1.32911,0.56041,0.32899,0.3232,0.13601,2.2335,2.68485,2.16365,0.001802,0.001802,0.001802
7,14683.1,1.34782,1.14116,1.31126,0.51827,0.46254,0.46957,0.23047,1.77921,1.88966,1.82181,0.0017624,0.0017624,0.0017624
8,62590,1.32963,1.06234,1.30498,0.58841,0.34528,0.40612,0.17059,2.0441,1.93969,2.05513,0.0017228,0.0017228,0.0017228
9,65296.7,1.32071,1.07099,1.28252,0.56573,0.52618,0.53726,0.24901,1.87255,1.6613,1.86512,0.0016832,0.0016832,0.0016832
10,67824.8,1.29188,1.02458,1.27967,0.50627,0.52769,0.50459,0.23112,1.93104,1.71238,1.86998,0.0016436,0.0016436,0.0016436
11,70475.4,1.26959,1.00497,1.26949,0.55161,0.53094,0.53762,0.26652,1.71512,1.74991,1.74839,0.001604,0.001604,0.001604
12,73217.3,1.29425,0.97971,1.27208,0.54919,0.5119,0.47437,0.22599,1.85526,1.84937,1.8223,0.0015644,0.0015644,0.0015644
13,76063.3,1.26195,0.94884,1.26401,0.5749,0.4658,0.47931,0.22663,1.87166,1.78851,1.88075,0.0015248,0.0015248,0.0015248
14,78572.5,1.25406,0.94119,1.25385,0.52144,0.5114,0.45536,0.22717,1.78275,1.65487,1.77708,0.0014852,0.0014852,0.0014852
15,80587.8,1.22974,0.91071,1.24059,0.62688,0.56369,0.6073,0.31774,1.65392,1.48981,1.66694,0.0014456,0.0014456,0.0014456
16,82249.5,1.22263,0.89129,1.23581,0.66037,0.51302,0.56032,0.29999,1.74402,1.66756,1.74325,0.001406,0.001406,0.001406
17,83927.7,1.20453,0.85721,1.21345,0.5903,0.47231,0.49925,0.22657,1.8929,1.8447,1.90241,0.0013664,0.0013664,0.0013664
18,85555.4,1.20794,0.8649,1.21676,0.65794,0.54397,0.57337,0.28946,1.724,1.63871,1.76548,0.0013268,0.0013268,0.0013268
19,87168.7,1.18288,0.83967,1.20357,0.5993,0.5114,0.5322,0.25478,1.83052,1.66581,1.83895,0.0012872,0.0012872,0.0012872
20,92246.3,1.19379,0.83583,1.20066,0.67267,0.557,0.58845,0.30542,1.69396,1.49277,1.69411,0.0012476,0.0012476,0.0012476
21,94169.2,1.17554,0.83499,1.21266,0.66775,0.60883,0.64003,0.34219,1.67109,1.37611,1.67669,0.001208,0.001208,0.001208
22,96082.4,1.18244,0.8237,1.20948,0.57268,0.62425,0.60231,0.30466,1.73373,1.47303,1.70975,0.0011684,0.0011684,0.0011684
